股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
000581,威孚高科,2016-06-30,5,增持,67797598,6.71961541,9412166,16.1207439554442
000089,深圳机场,2016-06-30,5,增持,154954013,7.55589608,55274871,55.4527957313276
600779,水井坊,2016-06-30,5,增持,27131256,5.55347353,5416409,24.9433440631656
600009,上海机场,2016-06-30,4,减持,85352120,4.42937003,-8054831,-8.62337429256202
000729,燕京啤酒,2016-06-30,4,增持,154846278,5.4938484,39170085,33.8618379323739
603288,海天味业,2016-06-30,4,减持,11582808,0.42800278,-740350,-6.00779443061592
600519,贵州茅台,2016-06-30,3,减持,38969276,3.10216082,-2660164,-6.39010277342189
000333,美的集团,2016-06-30,3,增持,181159474,2.81963155,57459682,46.4509123831025
002311,海大集团,2016-06-30,3,增持,55076165,3.57288069,601648,1.10445770450796
002027,分众传媒,2016-06-30,3,增持,17343148,0.19850611,13670898,372.275798216352
000651,格力电器,2016-06-30,3,持平,157699410,2.62145055,0,0
002415,海康威视,2016-06-30,3,增持,156270697,2.56048897,114045842,270.091731516899
000858,五粮液,2016-06-30,3,减持,76234983,2.00831537,-2878320,-3.63822504035762
600377,宁沪高速,2016-06-30,3,增持,58819083,1.16756711,6019683,11.4010443300492
000976,华铁股份,2016-06-30,3,增持,17521466,1.0980572,5645207,47.5335457066068
002032,苏泊尔,2016-06-30,3,减持,34381456,5.44212134,-10515514,-23.4214335622203
600312,平高电气,2016-06-30,3,增持,21539475,1.89360424,3210221,17.5141934308947
600007,中国国贸,2016-06-30,3,减持,13788772,1.36890809,-4408487,-24.2261046017974
002008,大族激光,2016-06-30,2,增持,16699078,1.56599775,8899507,114.102519228301
000895,双汇发展,2016-06-30,2,减持,45738690,1.38565658,-12972979,-22.0960828076613
000916,华北高速,2016-06-30,2,增持,13357571,1.22546523,1839282,15.9683612731023
002241,歌尔股份,2016-06-30,2,增持,32139604,2.10529023,14041159,77.5821292934283
000402,金融街,2016-06-30,2,增持,23885588,0.7991351,1386048,6.16033927804746
002573,清新环境,2016-06-30,2,增持,7625091,0.71556785,7625091,100
600104,上汽集团,2016-06-30,2,减持,47333373,0.42930558,-16831131,-26.2312181202242
600585,海螺水泥,2016-06-30,2,增持,79621230,1.50248506,1211140,1.54462263721416
002439,启明星辰,2016-06-30,2,持平,19603950,2.25607046,0,0
600739,辽宁成大,2016-06-30,2,增持,70935289,1.36857911,7809900,12.3720425707
600559,老白干酒,2016-06-30,2,增持,8715292,1.98951938,8715292,100
002340,格林美,2016-06-30,2,增持,37854038,1.30043742,18139019,92.00609443998
601021,春秋航空,2016-06-30,2,增持,8120000,1.015,8120000,100
600196,复星医药,2016-06-30,2,增持,31931950,1.37990104,15120547,89.9422076789189
600019,宝钢股份,2016-06-30,2,增持,62203939,0.37775073,32617240,110.242916926961
002470,*ST金正,2016-06-30,2,增持,58465416,1.86208282,41178915,238.214286396073
600066,宇通客车,2016-06-30,2,增持,59768240,2.69963328,19092760,46.9392371030409
600761,安徽合力,2016-06-30,2,减持,13868490,2.24839498,-523527,-3.63762077268252
002081,金螳螂,2016-06-30,2,增持,35646914,1.34857174,24070346,207.92298719275
600276,恒瑞医药,2016-06-30,2,增持,41356122,1.76151187,8892683,27.3929173061425
300146,汤臣倍健,2016-06-30,2,增持,21512731,1.47750053,12732984,145.026775828506
000589,贵州轮胎,2016-06-30,2,增持,4685748,0.60425064,4685748,100
300037,新宙邦,2016-06-30,2,增持,5786685,3.14458059,1371159,31.0531293440464
300017,网宿科技,2016-06-30,2,减持,12940969,1.63131597,-863894,-6.25789622106355
002304,洋河股份,2016-06-30,2,减持,27782314,1.84356571,-478184,-1.69205793896484
600461,洪城水业,2016-06-30,2,增持,9968841,2.27255049,3402590,51.8193715104707
300180,华峰超纤,2016-06-30,2,持平,8585155,1.80740105,0,0
002634,棒杰股份,2016-06-30,2,增持,7247210,1.57205412,5234096,259.999980130286
600361,华联综超,2016-06-30,2,增持,11882778,1.78471564,3896754,48.7946692872448
601918,新集能源,2016-06-30,2,增持,8146150,0.31445738,8146150,100
002468,申通快递,2016-06-30,2,持平,7679156,2.31456043,0,0
