股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
000089,深圳机场,2018-03-31,5,减持,171475159,1448965093.55,-17054345,-9.04598200184094
600132,重庆啤酒,2018-03-31,4,增持,47279841,1020771767.19,4683083,10.9939892608729
600456,宝钛股份,2018-03-31,4,增持,13389500,268593370,5839053,77.333871756202
002439,启明星辰,2018-03-31,4,增持,41727289,1141658627.04,2086034,5.2622804197294
300133,华策影视,2018-03-31,3,增持,45478720,547563788.8,1259846,2.84911370651365
600009,上海机场,2018-03-31,3,减持,43707209,2134660087.56,-11980394,-21.513574574219
300166,东方国信,2018-03-31,3,增持,60095932,1088938287.84,4116385,7.35337318824677
600519,贵州茅台,2018-03-31,3,增持,19452549,13298151547.38,2576209,15.2652115328324
601098,中南传媒,2018-03-31,3,增持,72043550,919275698,50269842,230.874052320349
300003,乐普医疗,2018-03-31,3,减持,33834863,1140911580.36,-11169513,-24.8187265167281
300203,聚光科技,2018-03-31,3,增持,29190256,844474106.08,24499754,522.326906586971
601888,中国中免,2018-03-31,3,减持,43285546,2290238238.86,-3052989,-6.58844523246149
600533,栖霞建设,2018-03-31,3,减持,84272462,380068803.62,-7523300,-8.19569426309681
600129,太极集团,2018-03-31,3,减持,19571481,316862277.39,-51229,-0.261069954150064
600004,白云机场,2018-03-31,3,增持,57750976,903225264.64,11264182,24.2309288956343
603866,桃李面包,2018-03-31,3,增持,6558782,318822393.02,1838524,38.9496506335035
603233,大参林,2018-03-31,3,减持,4805190,274856868,-777445,-13.9261298651981
603708,家家悦,2018-03-31,3,增持,9512274,197855299.2,5846254,159.471415867889
000333,美的集团,2018-03-31,2,减持,171896554,9373519089.62,-8754405,-4.84603295131137
600585,海螺水泥,2018-03-31,2,减持,51804201,1666541146.17,-38196447,-42.4401910972908
601021,春秋航空,2018-03-31,2,增持,10266800,313240068,4832900,88.939803824141
000877,天山股份,2018-03-31,2,减持,14204100,151131624,-84600,-0.592076256062483
