股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
601166,兴业银行,2020-06-30,4,持平,2792819222,44070687323.16,0,0
603719,良品铺子,2020-06-30,4,增持,3197984,234604106.24,3197984,100
600000,浦发银行,2020-06-30,3,持平,5813098247,61502579453.26,0,0
600376,首开股份,2020-06-30,3,持平,199122011,1166854984.46,0,0
002035,华帝股份,2020-06-30,3,增持,40979875,415126133.75,13151930,47.2615926184991
600383,金地集团,2020-06-30,3,减持,1834211971,25128704002.7,-265227389,-12.633248383035
600340,华夏幸福,2020-06-30,3,持平,754099051,17238704305.86,0,0
000425,徐工机械,2020-06-30,3,减持,146817081,867688948.71,-838043,-0.56756784139777
000012,南玻A,2020-06-30,3,持平,649577042,3260876750.84,0,0
000402,金融街,2020-06-30,3,减持,637886850,4235568684,-402607724,-38.6938802047035
000001,平安银行,2020-06-30,3,持平,11245119438,143937528806.4,0,0
000498,山东路桥,2020-06-30,3,增持,8500000,41225000,2000000,30.7692307692308
600004,白云机场,2020-06-30,3,增持,93668553,1427508747.72,16079573,20.7240422544542
601988,中国银行,2020-06-30,3,增持,2128051504,7405619233.92,86816619,4.25314203857534
600900,长江电力,2020-06-30,3,持平,1658076143,31403962148.42,0,0
600048,保利地产,2020-06-30,3,持平,744544217,11004363527.26,0,0
300003,乐普医疗,2020-06-30,3,减持,28128804,1027263922.08,-8805533,-23.8410479657453
000902,新洋丰,2020-06-30,3,增持,52155761,461056927.24,13084982,33.4904558724053
002666,德联集团,2020-06-30,3,增持,24832973,175817448.84,11185900,81.9655614064642
600620,天宸股份,2020-06-30,3,持平,164813032,969100628.16,0,0
600466,蓝光发展,2020-06-30,3,减持,62978231,339452665.09,-1060053,-1.65534260724413
600897,厦门空港,2020-06-30,3,减持,7818473,140028851.43,-500092,-6.01175803759423
300630,普利制药,2020-06-30,3,减持,9362126,692329217.7,-359282,-3.69578151642231
603359,东珠生态,2020-06-30,3,增持,14612111,244460617.03,4963800,51.4473465873975
601828,美凯龙,2020-06-30,3,增持,16447989,174184203.51,16447989,100
601658,邮储银行,2020-06-30,3,减持,292256533,1335612355.81,-88050111,-23.1523988310864
002985,北摩高科,2020-06-30,3,新进,1132776,140996628.72,1132776,0.75437933
601877,正泰电器,2020-06-30,2,增持,45257876,1192545032.6,4999809,12.4193965895084
600009,上海机场,2020-06-30,2,增持,32096211,2313173926.77,10606311,49.3548643781497
601288,农业银行,2020-06-30,2,增持,5399755116,18251172292.08,115485700,2.18546199878314
600577,精达股份,2020-06-30,2,持平,195395729,543200126.62,0,0
000651,格力电器,2020-06-30,2,减持,99024489,5601815342.73,-7204267,-6.78184257377541
002512,达华智能,2020-06-30,2,持平,21235897,107241279.85,0,0
600028,中国石化,2020-06-30,2,增持,1450989689,5673369683.99,521081187,56.0357482353678
002110,三钢闽光,2020-06-30,2,增持,72178736,480710381.76,31900,0.044215383194351
600600,青岛啤酒,2020-06-30,2,增持,10768837,823816030.5,10768837,100
002301,齐心集团,2020-06-30,2,增持,31446396,516349822.32,31446396,100
300121,阳谷华泰,2020-06-30,2,减持,11682262,96028193.64,-2210430,-15.9107392577335
600429,三元股份,2020-06-30,2,减持,47748721,245428425.94,-2500000,-4.97525101186158
002434,万里扬,2020-06-30,2,增持,31342738,272054965.84,10857603,53.0023502407966
002180,纳思达,2020-06-30,2,增持,21763181,716226286.71,21763181,100
600153,建发股份,2020-06-30,2,持平,163214711,1322039159.1,0,0
600597,光明乳业,2020-06-30,2,减持,11825985,175734137.1,-9967831,-45.7369696064241
600015,华夏银行,2020-06-30,2,持平,2789013401,17068762014.12,0,0
600990,四创电子,2020-06-30,2,增持,6308294,250439271.8,1105016,21.2369202644948
000630,铜陵有色,2020-06-30,2,增持,386957401,746827783.93,62047654,19.0968890816316
600085,同仁堂,2020-06-30,2,减持,11933579,323638662.48,-205579283,-94.5136214519581
600660,福耀玻璃,2020-06-30,2,减持,54974657,1147321091.59,-1217442,-2.16657149611016
601588,北辰实业,2020-06-30,2,持平,118635440,333365586.4,0,0
000429,粤高速A,2020-06-30,2,增持,73556376,514159068.24,1000000,1.37823862647164
600028,中国石化,2020-06-30,2,增持,1450989689,5673369683.99,521081187,56.0357482353678
600015,华夏银行,2020-06-30,2,持平,2789013401,17068762014.12,0,0
600660,福耀玻璃,2020-06-30,2,减持,54974657,1147321091.59,-1217442,-2.16657149611016
603818,曲美家居,2020-06-30,2,增持,3540930,31408049.1,3540930,100
002299,圣农发展,2020-06-30,2,增持,15606564,452590356,15606564,100
002110,三钢闽光,2020-06-30,2,增持,72178736,480710381.76,31900,0.044215383194351
002777,久远银海,2020-06-30,2,增持,20184837,613820893.17,7560506,59.8883695302349
600600,青岛啤酒,2020-06-30,2,增持,10768837,823816030.5,10768837,100
002301,齐心集团,2020-06-30,2,增持,31446396,516349822.32,31446396,100
600085,同仁堂,2020-06-30,2,减持,11933579,323638662.48,-205579283,-94.5136214519581
600597,光明乳业,2020-06-30,2,减持,11825985,175734137.1,-9967831,-45.7369696064241
002085,万丰奥威,2020-06-30,2,持平,170743631,1106418728.88,0,0
300121,阳谷华泰,2020-06-30,2,减持,11682262,96028193.64,-2210430,-15.9107392577335
600429,三元股份,2020-06-30,2,减持,47748721,245428425.94,-2500000,-4.97525101186158
000671,阳光城,2020-06-30,2,持平,177846056,1127543995.04,0,0
002434,万里扬,2020-06-30,2,增持,31342738,272054965.84,10857603,53.0023502407966
000547,航天发展,2020-06-30,2,持平,61826710,845171125.7,0,0
600153,建发股份,2020-06-30,2,持平,163214711,1322039159.1,0,0
300017,网宿科技,2020-06-30,2,增持,52532849,446003888.01,52532849,100
600884,杉杉股份,2020-06-30,2,增持,85575916,1008940049.64,4449540,5.48470204067787
000630,铜陵有色,2020-06-30,2,增持,386957401,746827783.93,62047654,19.0968890816316
601225,陕西煤业,2020-06-30,2,持平,390649448,2816582520.08,0,0
002916,深南电路,2020-06-30,2,增持,2816265,471780712.8,1824902,184.080099822164
000685,中山公用,2020-06-30,2,持平,32394520,249437804,0,0
300684,中石科技,2020-06-30,2,减持,7119634,247051299.8,-99980,-1.38483858001273
000429,粤高速A,2020-06-30,2,增持,73556376,514159068.24,1000000,1.37823862647164
