股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
002622,融钰集团,2017-09-30,7,增持,101571346,1535758751.52,8311250,8.91190375785159
600439,瑞贝卡,2017-09-30,7,减持,198500096,1200925580.8,-550980,-0.27680332659945
000576,甘化科工,2017-09-30,7,增持,71000766,1194942891.78,2772742,4.06393419806501
000673,*ST当代,2017-09-30,7,增持,20647811,240134041.93,18380911,810.839075389298
603696,安记食品,2017-09-30,7,减持,10428911,417573596.44,-896541,-7.91616087375585
603320,迪贝电气,2017-09-30,7,增持,6211501,287965186.36,6211501,100
002891,中宠股份,2017-09-30,7,新进,1256677,47012286.57,1256677,1.256677
000533,顺钠股份,2017-09-30,6,增持,97333429,1015187664.47,27217222,38.8173051060791
002427,ST尤夫,2017-09-30,6,增持,39926273,1081602735.57,13237505,49.5995356548493
600137,浪莎股份,2017-09-30,6,减持,7819070,293449697.1,-116799,-1.47178588759467
600393,粤泰股份,2017-09-30,6,增持,381398756,2631651416.4,50284944,15.1866041758475
002210,*ST飞马,2017-09-30,6,增持,122978032,1413017587.68,60839700,97.9100951728154
600165,新日恒力,2017-09-30,6,增持,61778818,899499590.08,98257,0.159299783281803
002491,通鼎互联,2017-09-30,6,增持,119047266,1709518739.76,69157415,138.620207544817
300266,兴源环境,2017-09-30,6,减持,120346595,3705471660.05,-19970266,-14.2322639329852
000926,福星股份,2017-09-30,6,增持,109142934,1352280952.26,42392016,63.5077647920887
000506,中润资源,2017-09-30,6,持平,133806682,1170808467.5,0,0
002485,希努尔,2017-09-30,6,增持,14523463,361343759.44,11750263,423.707738352805
002715,登云股份,2017-09-30,6,增持,12719972,424847064.8,2721018,27.2130264825701
600319,ST亚星,2017-09-30,6,增持,20543668,214065020.56,8664181,72.9339659195721
603035,常熟汽饰,2017-09-30,6,增持,11768082,230772088.02,10588682,897.80244191962
603667,五洲新春,2017-09-30,6,增持,9172696,238490096,9172696,100
002879,长缆科技,2017-09-30,6,增持,3147795,123110262.45,3147795,100
000703,恒逸石化,2017-09-30,5,增持,94167107,1544340554.8,45812116,94.741235708223
000566,海南海药,2017-09-30,5,增持,228860811,2977479151.11,37217597,19.4202529915826
002321,华英农业,2017-09-30,5,增持,54028086,714791577.78,24423104,82.4966014166129
000816,智慧农业,2017-09-30,5,减持,77375841,540857128.59,-2092936,-2.63365824794309
600738,兰州民百,2017-09-30,5,增持,56142241,531667022.27,27340183,94.9244078322459
300091,金通灵,2017-09-30,5,增持,52197500,892055275,6208382,13.4996761625218
002564,天沃科技,2017-09-30,5,增持,85077825,832911906.75,12064148,16.5231344258967
600666,ST瑞德,2017-09-30,5,持平,35843618,623678953.2,0,0
002412,汉森制药,2017-09-30,5,增持,42559803,707343925.86,3206076,8.14681669159315
600086,退市金钰,2017-09-30,5,增持,79778966,835285774.02,43941546,122.61358658073
000509,*ST华塑,2017-09-30,5,增持,35826020,219255242.4,3691600,11.4879932483611
601588,北辰实业,2017-09-30,5,增持,264856970,1528224716.9,61052463,29.9563851156638
002408,齐翔腾达,2017-09-30,5,增持,126289306,1552095570.74,126289306,100
000610,西安旅游,2017-09-30,5,增持,8007774,106983860.64,8007774,100
002630,华西能源,2017-09-30,5,增持,78667787,851185455.34,5526065,7.55528424665747
300064,ST金刚,2017-09-30,5,增持,66907463,904588899.76,66907463,100
600191,华资实业,2017-09-30,5,增持,13584207,153501539.1,1341300,10.9557313471384
300094,国联水产,2017-09-30,5,减持,22423780,151584752.8,-4158893,-15.6451271849148
002584,西陇科学,2017-09-30,5,增持,21251500,331948430,10557323,98.7202942311503
600638,新黄浦,2017-09-30,5,增持,64744326,1169929970.82,10999951,20.4671670291077
000732,泰禾集团,2017-09-30,5,增持,163884101,2889276700.63,46786829,39.9555243268178
600532,未来股份,2017-09-30,5,增持,31782835,368680886,2955901,10.253955554205
600865,百大集团,2017-09-30,5,增持,24231758,251041012.88,19731457,438.447494956449
002085,万丰奥威,2017-09-30,5,增持,231711811,4529965905.05,10108519,4.56153828256306
600715,文投控股,2017-09-30,5,持平,40634041,913046901.27,0,0
603555,*ST贵人,2017-09-30,5,增持,45312777,971052811.11,21581519,90.9413188293684
002633,申科股份,2017-09-30,5,增持,10940411,157651322.51,10490762,2333.10026264931
002860,星帅尔,2017-09-30,5,增持,2407545,105907904.55,1384545,135.341642228739
002085,万丰奥威,2017-09-30,5,增持,231711811,4529965905.05,10108519,4.56153828256306
002633,申科股份,2017-09-30,5,增持,10940411,157651322.51,10490762,2333.10026264931
000017,*ST中华A,2017-09-30,5,增持,27581943,215414974.83,14541623,111.512777293809
002723,金莱特,2017-09-30,5,增持,5164768,113211714.56,2372734,84.9822745711549
002729,好利来,2017-09-30,5,增持,4469895,278027469,500000,12.5947915499025
300569,天能重工,2017-09-30,5,增持,1141821,37348964.91,1010781,771.353021978022
603318,派思股份,2017-09-30,5,增持,17527386,259580586.66,17527386,100
002811,郑中设计,2017-09-30,5,增持,3527000,105810000,1618225,84.7781954394834
