股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
600066,宇通客车,2016-03-31,57,增持,61475030,1191386081.4,350847,0.573990494073352
600276,恒瑞医药,2016-03-31,55,减持,17300039,820656152.97,-2393029,-12.1516312237382
000858,五粮液,2016-03-31,49,减持,7408634,211950355.74,-2397178,-24.4465017277508
000651,格力电器,2016-03-31,47,增持,46423133,944317879.9,1322622,2.93260978794675
000002,万科A,2016-03-31,45,减持,496039867,11916523649.37,-3406787,-0.682112288212466
002415,海康威视,2016-03-31,42,增持,30474041,940066739.62,26614035,689.481700287512
601166,兴业银行,2016-03-31,37,减持,21457466,333383546.98,-4993429,-18.8781097955287
002019,亿帆鑫富,2016-03-31,34,增持,1863586,100223055.08,1650386,774.10225140713
600887,伊利股份,2016-03-31,34,减持,31657282,461246598.74,-12609879,-28.4858543334189
300088,长信科技,2016-03-31,31,增持,75737502,833112522,9420255,14.2048342266077
600519,贵州茅台,2016-03-31,29,增持,363306,89969097.84,289252,390.596051529965
300059,东方财富,2016-03-31,28,减持,2719952,123151873.6,-1302557,-32.3817050502559
601318,中国平安,2016-03-31,27,减持,14584749,469653941.69,-3296186,-18.4340807681478
600009,上海机场,2016-03-31,26,增持,982224,29555120.16,691200,237.506185056903
000568,泸州老窖,2016-03-31,26,增持,35410727,872954920.55,9525909,36.8011434347346
600114,东睦股份,2016-03-31,25,增持,1320800,24865764,970800,277.371428571429
000333,美的集团,2016-03-31,25,增持,3801031,118804306.35,871682,29.7568504128392
601222,林洋电子,2016-03-31,25,增持,1192663,42136783.79,385858,47.8254348944293
600036,招商银行,2016-03-31,24,减持,14810778,238710634.66,-230754716,-93.9687055543724
600054,黄山旅游,2016-03-31,23,增持,996707,24040572.84,510126,104.838865471525
002572,索菲亚,2016-03-31,23,减持,6708109,1268300059.28,-16878885,-71.5601360648161
600363,联创光电,2016-03-31,23,增持,4647700,76408188,2506900,117.101083707025
600030,中信证券,2016-03-31,22,增持,3948080,70275824,2468269,166.796232762157
600261,阳光照明,2016-03-31,22,增持,2226400,17967048,1824083,453.394462575531
002376,新北洋,2016-03-31,22,增持,14783559,193221116.13,239972,1.6500193521722
002172,澳洋科技,2016-03-31,22,增持,8085614,101959592.54,6580199,437.101995130911
601199,江南水务,2016-03-31,22,增持,983000,17517060,962274,4642.83508636495
600016,民生银行,2016-03-31,21,减持,38098977,347637773.09,-805091,-2.0694262615416
002191,劲嘉股份,2016-03-31,21,减持,3256685,38291933.4,-34705,-1.05441773840232
002400,省广股份,2016-03-31,20,减持,13111489,239940248.7,-13710202,-51.1160985338322
601688,华泰证券,2016-03-31,20,增持,4337410,75813204.7,3158193,267.821189823417
002217,合力泰,2016-03-31,20,增持,36542161,460065806.99,18181085,99.0197143130392
002368,太极股份,2016-03-31,19,增持,1323082,47961722.5,1243082,1553.8525
000963,华东医药,2016-03-31,19,增持,1449437,101493043.15,271759,23.0758322733379
600271,航天信息,2016-03-31,19,增持,3117200,178598450.85,1459269,88.0174747923768
600660,福耀玻璃,2016-03-31,19,减持,5314805,79137446.45,-25199460,-82.5825560602558
002065,东华软件,2016-03-31,19,增持,7840302,193169518.2,162632,2.11824681185829
600584,长电科技,2016-03-31,18,增持,2152300,52559841,1021000,90.2501546892955
000001,平安银行,2016-03-31,18,减持,3827915,42089871.6,-2134967,-35.8042805475607
000625,长安汽车,2016-03-31,18,增持,5273047,86309951.19,1521671,40.5630094130794
300258,精锻科技,2016-03-31,18,增持,5701938,82107907.2,86003,1.53141017479725
600048,保利地产,2016-03-31,18,减持,20859837,202859185.28,-4445537,-17.5675609457501
600703,三安光电,2016-03-31,18,增持,81349174,1599324760.84,6959993,9.35618984701552
002508,老板电器,2016-03-31,18,增持,6704464,311598116.55,108856,1.65043162055719
600958,东方证券,2016-03-31,17,减持,1065555,21641422.05,-10897745,-91.0931348373776
600000,浦发银行,2016-03-31,17,增持,4140896,73887570.16,1324185,47.0117452589208
002470,金正大,2016-03-31,17,增持,35175650,549185032.5,5812350,19.794607554328
600741,华域汽车,2016-03-31,17,增持,61790102,940445352.44,43958989,246.529697837707
002006,精功科技,2016-03-31,17,增持,7642429,112100487.3,312300,4.26049800760669
601777,力帆股份,2016-03-31,17,减持,27393292,331488705.24,-22606707,-45.2134149042683
002032,苏泊尔,2016-03-31,17,减持,391800,12145800,-2520992,-86.5489880499535
601818,光大银行,2016-03-31,17,增持,6684421,25066578.75,6353021,1917.02504526252
002271,东方雨虹,2016-03-31,17,增持,2519800,42559422,2410800,2211.74311926606
002714,牧原股份,2016-03-31,17,减持,4895168,297009929.2,-1620955,-24.8760651080405
002230,科大讯飞,2016-03-31,16,减持,8054373,225737236.89,-4382176,-35.2362701260615
000729,燕京啤酒,2016-03-31,16,增持,1194100,8776635,1194061,3061694.87179487
600978,宣华木业,2016-03-31,16,减持,18196792,214358209.76,-2572600,-12.3864964366795
600979,广安爱众,2016-03-31,16,减持,13902536,87585976.8,-1839619,-11.6859413466581
600612,老凤祥,2016-03-31,16,增持,12977570,527797771.9,407171,3.23912550428988
603806,福斯特,2016-03-31,16,减持,2025639,77825050.38,-3673911,-64.4596678685159
000960,锡业股份,2016-03-31,15,增持,5292500,63827550,5047500,2060.20408163265
600649,城投控股,2016-03-31,15,增持,63326941,970168736.12,7513714,13.462246144628
000750,国海证券,2016-03-31,15,增持,50519300,563065424,519300,1.0386
600352,浙江龙盛,2016-03-31,15,增持,17114124,181580855.64,3591793,26.5619366956777
600093,禾嘉股份,2016-03-31,15,增持,256700,3313997,256700,100
002004,华邦健康,2016-03-31,15,增持,1917800,19523204,1697800,771.727272727273
002310,东方园林,2016-03-31,15,增持,12185159,258690925.57,5431150,80.4137216873712
600037,歌华有线,2016-03-31,15,减持,34938509,520758512.71,-196400,-0.558988213118753
002456,欧菲光,2016-03-31,15,减持,9112000,241832480,-4996552,-35.4150588947753
600240,华业地产,2016-03-31,15,减持,430300,4660149,-3008824,-87.4880928980752
000917,电广传媒,2016-03-31,15,增持,2250400,36794040,1896600,536.065573770492
300144,宋城演艺,2016-03-31,14,减持,1081363,34560681.38,-583661,-35.054209428813
600893,中航动力,2016-03-31,14,增持,24782951,978678734.99,295239,1.20566184378516
002466,天齐锂业,2016-03-31,14,增持,354300,59451540,102200,40.5394684648949
600873,梅花生物,2016-03-31,14,增持,4754816,43459018.24,1346500,39.5063133817404
600079,人福医药,2016-03-31,14,增持,5971418,111068374.8,3253913,119.73898852072
601009,南京银行,2016-03-31,14,减持,29857530,480706233,-37977478,-55.9850718968
300167,迪威视讯,2016-03-31,14,增持,5796058,88621726.82,5465958,1655.84913662526
002299,圣农发展,2016-03-31,14,增持,16421267,444090151.63,1735505,11.8176026548708
002081,金螳螂,2016-03-31,14,增持,3614678,61738700.24,3393322,1532.97041869206
600089,特变电工,2016-03-31,14,减持,482300,4393753,-238688,-33.1056827575494
000421,南京中北,2016-03-31,14,增持,4960575,37501947,898075,22.1064615384615
300017,网宿科技,2016-03-31,14,减持,802775,50358160.41,-148064,-15.5719317360773
300498,温氏股份,2016-03-31,14,增持,1295205,66638297.25,345391,36.3640670699737
002008,大族激光,2016-03-31,13,增持,11885053,264442429.25,9247553,350.618123222749
600028,中国石化,2016-03-31,13,增持,203501705,968668115.8,19000400,10.298246941939
002367,康力电梯,2016-03-31,13,减持,4187600,75727290.24,-1095991,-20.743297503535
600004,白云机场,2016-03-31,13,增持,29884830,370571892,11438808,62.0123298128995
300099,尤洛卡,2016-03-31,13,增持,1490416,34100718.08,815662,120.88286990518
002311,海大集团,2016-03-31,13,减持,55771921,906851435.46,-698031,-1.23611048934485
300070,碧水源,2016-03-31,13,增持,68112449,2655704386.51,164449,0.242021840230765
000786,北新建材,2016-03-31,13,减持,2827786,26948800.58,-47321355,-94.3612473840778
600622,嘉宝集团,2016-03-31,13,减持,758846,9902940.3,-111654,-12.8264215967835
000828,东莞控股,2016-03-31,13,增持,16462510,167423726.7,13546319,464.5209795929
601288,农业银行,2016-03-31,12,减持,2179735,13127472,-698998,-24.2814460389345
000063,中兴通讯,2016-03-31,12,减持,446189,6734666.34,-1555714,-77.7117572629643
000661,长春高新,2016-03-31,12,增持,174989,17831379.1,46189,35.8610248447205
000636,风华高科,2016-03-31,12,减持,5228399,46375899.13,-20162553,-79.408416825017
002450,康得新,2016-03-31,12,减持,23593698,991355174.28,-281125,-1.17749564049124
600132,重庆啤酒,2016-03-31,12,增持,335600,4544024,335600,100
002462,嘉事堂,2016-03-31,12,增持,5026594,185833180.18,664987,15.2463759343746
