股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
000069,华侨城A,2016-06-30,5,减持,352308971,2254777414.4,-10840900,-2.98524131927889
002400,省广集团,2016-06-30,5,增持,127310311,1798894694.43,32980751,34.9633253881392
600160,巨化股份,2016-06-30,4,减持,154967116,1647300443.08,-6491871,-4.02075543803579
600123,兰花科创,2016-06-30,4,增持,54253305,389538729.9,34492524,174.550408711073
000778,新兴铸管,2016-06-30,4,增持,87307796,405108173.44,56878712,186.922195883386
002078,太阳纸业,2016-06-30,4,增持,63321636,309009583.68,39191230,162.414300032913
600547,山东黄金,2016-06-30,4,增持,54506743,2120857370.13,1207318,2.26516139714453
600318,新力金融,2016-06-30,4,持平,12031231,322918240.04,0,0
000523,广州浪奇,2016-06-30,4,增持,35244137,383103769.19,10159455,40.5006330157983
002547,春兴精工,2016-06-30,4,减持,48785741,539570295.46,-14675805,-23.1255081620608
002701,奥瑞金,2016-06-30,4,增持,58836823,519529147.09,32506797,123.459038741549
600763,通策医疗,2016-06-30,4,增持,15717503,490071743.54,1647245,11.7072835480344
300133,华策影视,2016-06-30,3,增持,64858616,1009848651.12,25594251,65.184426132958
600348,阳泉煤业,2016-06-30,3,增持,85086054,541998163.98,70501654,483.404555552508
601021,春秋航空,2016-06-30,3,增持,30130000,1444432200,1475326,5.14863997405798
600820,隧道股份,2016-06-30,3,增持,46689745,391726960.55,20841731,80.6318466091824
600158,中体产业,2016-06-30,3,减持,33576499,595982857.25,-11327879,-25.2266694352163
000625,长安汽车,2016-06-30,3,增持,98084716,1340818067.72,39984882,68.8209918121281
000937,冀中能源,2016-06-30,3,减持,77361457,411562951.24,-526250,-0.67565219245702
002517,恺英网络,2016-06-30,3,增持,8878556,391366748.48,292455,3.40614441875305
600151,航天机电,2016-06-30,3,增持,46125130,521213969,12943342,39.0073675354686
600114,东睦股份,2016-06-30,3,减持,20759818,348972540.58,-5300000,-20.3378243086732
000028,国药一致,2016-06-30,3,增持,13789309,897684015.9,1706789,14.1261011775689
300203,聚光科技,2016-06-30,3,减持,17741380,468372432,-5888390,-24.9193707767786
000915,山大华特,2016-06-30,3,减持,10199834,360768128.58,-126867,-1.22853368176342
000888,峨眉山A,2016-06-30,3,增持,26883272,323674594.88,299951,1.1283428432437
000848,承德露露,2016-06-30,3,增持,55793006,666726421.7,22009751,65.1498826859638
600584,长电科技,2016-06-30,3,减持,42884517,870126849.93,-13336178,-23.7211190647857
600340,华夏幸福,2016-06-30,3,增持,66090093,1611276467.34,4770202,7.7792082180968
300347,泰格医药,2016-06-30,3,增持,16679799,484047766.98,4093902,32.5276934969355
000983,山西焦煤,2016-06-30,3,增持,116666812,950834517.8,51667297,79.4887423390775
002268,卫士通,2016-06-30,3,减持,7603811,271760205.14,-23506644,-75.5586634782423
300351,永贵电器,2016-06-30,3,增持,9543027,323794906.11,5622725,143.425812603213
000524,岭南控股,2016-06-30,3,持平,14124737,184751559.96,0,0
600489,中金黄金,2016-06-30,3,增持,78429434,881546838.16,16429714,26.499658385554
001979,招商蛇口,2016-06-30,3,减持,98166857,1398877712.25,-13256463,-11.8973864717009
002001,新和成,2016-06-30,3,增持,33057912,698513680.56,9153060,38.2895489166802
002494,华斯股份,2016-06-30,3,增持,19194833,296560169.85,5984282,45.2992611738905
300335,迪森股份,2016-06-30,3,增持,17815485,295915205.85,6513167,57.6268248690224
000998,隆平高科,2016-06-30,3,增持,32434430,615605481.4,3522965,12.1853562245981
601126,四方股份,2016-06-30,3,增持,27273877,287193924.81,8499823,45.2743078293053
300012,华测检测,2016-06-30,3,增持,49182304,608876923.52,31481702,177.856674027245
002444,巨星科技,2016-06-30,3,增持,27489418,558584973.76,17189706,166.895016093654
002037,保利联合,2016-06-30,3,减持,23088661,373574534.98,-194807,-0.836675189452018
600386,北巴传媒,2016-06-30,3,增持,13380736,249684533.76,7305659,120.256237081439
000705,浙江震元,2016-06-30,3,增持,13709020,193160091.8,3982839,40.949669762469
000678,襄阳轴承,2016-06-30,3,增持,12083890,95462731,3597910,42.3982851715418
300224,正海磁材,2016-06-30,3,增持,19242577,436229220.59,3380313,21.3104068876927
000958,东方能源,2016-06-30,3,减持,27589368,382112746.8,-5864205,-17.5293831842715
600452,涪陵电力,2016-06-30,3,增持,5582967,186526927.47,1774974,46.6117978683259
001979,招商蛇口,2016-06-30,3,减持,98166857,1398877712.25,-13256463,-11.8973864717009
000911,南宁糖业,2016-06-30,2,增持,15200997,381241004.76,4269491,39.0567502775921
000895,双汇发展,2016-06-30,2,增持,28999317,605505738.96,13999302,93.3285866714133
600373,中文传媒,2016-06-30,2,减持,51239016,1063209582,-13450120,-20.7919301936572
000703,恒逸石化,2016-06-30,2,增持,7889666,77871003.42,7889666,100
603601,再升科技,2016-06-30,2,增持,4969298,239172312.74,1634218,49.0008635475011
600366,宁波韵升,2016-06-30,2,增持,8840680,211027031.6,2877574,48.2562946222992
002092,中泰化学,2016-06-30,2,减持,11592631,98073658.26,-641419,-5.24289993910438
600499,科达制造,2016-06-30,2,增持,14852773,251160391.43,1219561,8.9455148207187
000978,桂林旅游,2016-06-30,2,增持,20417299,214585812.49,11799920,136.931658686475
000060,中金岭南,2016-06-30,2,增持,69430293,724157955.99,7999933,13.0227675696512
002230,科大讯飞,2016-06-30,2,增持,13629191,447718924.35,7499668,122.353207582384
