股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
300003,乐普医疗,2020-09-30,7,减持,74507950,4.12882243,-7244310,-8.86129631156374
600761,安徽合力,2020-09-30,5,增持,97504042,13.17300338,24315678,33.223420597296
002008,大族激光,2020-09-30,4,增持,78574709,7.3635849,16925409,27.4543409252011
000333,美的集团,2020-09-30,4,增持,280060259,3.98774568,95303829,51.5834977976139
603868,飞科电器,2020-09-30,4,增持,11805041,2.71006451,1121685,10.4993692993101
300642,透景生命,2020-09-30,4,增持,11394653,12.54732907,3150087,38.2080390890194
300347,泰格医药,2020-09-30,3,减持,33012886,3.78336344,-1678214,-4.83759235077585
000800,一汽解放,2020-09-30,3,增持,34569616,0.74993751,26069414,306.691699797252
600585,海螺水泥,2020-09-30,3,增持,87803303,1.65688413,18235220,26.2120489937893
002508,老板电器,2020-09-30,3,增持,25429680,2.67956117,25429680,100
600787,中储股份,2020-09-30,3,持平,26959046,1.22552202,0,0
002311,海大集团,2020-09-30,3,减持,37336031,2.33134651,-61573,-0.164644237636187
000786,北新建材,2020-09-30,3,增持,53217883,3.14990447,12886175,31.9504817400741
300244,迪安诊断,2020-09-30,3,增持,28073921,4.52470717,8381930,42.5651728156894
002372,伟星新材,2020-09-30,3,增持,59533430,3.78443446,28936027,94.5702058439404
300408,三环集团,2020-09-30,3,减持,63302799,3.6425456,-410000,-0.643512773626536
300470,中密控股,2020-09-30,3,增持,9121428,4.63741451,6894685,309.630927323
300445,康斯特,2020-09-30,3,增持,10706589,4.94804734,10706589,100
603737,三棵树,2020-09-30,3,减持,7191243,2.75826303,-1660541,-18.7593935866487
300708,聚灿光电,2020-09-30,3,增持,1809167,0.69511696,1809167,100
601138,工业富联,2020-09-30,3,增持,62249880,0.3132242,18832296,43.3748133014495
603259,药明康德,2020-09-30,3,增持,79768401,2.59363139,29863112,59.8395733165677
603700,宁水集团,2020-09-30,3,增持,4555695,2.24151258,4555695,100
688363,华熙生物,2020-09-30,3,增持,8172613,1.70262771,2594109,46.5018757717123
688023,安恒信息,2020-09-30,3,增持,1763743,2.38105301,1145570,185.31543758786
300564,筑博设计,2020-09-30,3,增持,673484,0.673484,673484,100
688169,石头科技,2020-09-30,3,增持,1412946,2.11941899,1412946,100
300842,帝科股份,2020-09-30,3,增持,436632,0.436632,436632,100
300828,锐新科技,2020-09-30,3,增持,649680,0.58911861,649680,100
300852,四会富仕,2020-09-30,3,新进,415037,0.73291575,415037,0.73291575
688055,龙腾光电,2020-09-30,3,新进,10117510,0.3035253,10117510,0.3035253
600009,上海机场,2020-09-30,2,增持,22805639,1.18350445,11257741,97.487360903257
002352,顺丰控股,2020-09-30,2,增持,35370532,0.77627553,11748569,49.7357861410586
600031,三一重工,2020-09-30,2,增持,138787474,1.63747212,59930714,75.9994628234789
000651,格力电器,2020-09-30,2,增持,99339835,1.65133443,19718520,24.7653784668088
601231,环旭电子,2020-09-30,2,增持,10506905,0.48139104,10506905,100
000702,正虹科技,2020-09-30,2,增持,3400900,1.27549099,3400900,100
300015,爱尔眼科,2020-09-30,2,持平,103634203,2.51446681,0,0
002439,启明星辰,2020-09-30,2,减持,22354985,2.39453453,-7484234,-25.0818696025523
002410,广联达,2020-09-30,2,减持,37370193,3.1551181,-15347237,-29.1122632495552
600196,复星医药,2020-09-30,2,增持,27277560,1.06432461,12150027,80.3173061992329
000999,华润三九,2020-09-30,2,增持,20787404,2.12354724,2366702,12.8480554107004
000089,深圳机场,2020-09-30,2,减持,34784657,1.69617584,-11424797,-24.7239385256532
300301,长方集团,2020-09-30,2,增持,5873758,0.74341132,5873758,100
002164,宁波东力,2020-09-30,2,增持,2664591,0.5006995,2664591,100
000951,中国重汽,2020-09-30,2,增持,10643352,1.58600157,10643352,100
000159,国际实业,2020-09-30,2,增持,4686861,0.9750359,4686861,100
601668,中国建筑,2020-09-30,2,减持,381703988,0.90957545,-61008415,-13.7805976490792
002648,卫星石化,2020-09-30,2,增持,17992040,1.68827456,1139976,6.76460758753349
300167,迪威迅,2020-09-30,2,增持,2144661,0.71431554,2144661,100
002745,木林森,2020-09-30,2,增持,20246799,1.36418659,20246799,100
601163,三角轮胎,2020-09-30,2,减持,6053818,0.75672725,-1053295,-14.820293415906
601816,京沪高铁,2020-09-30,2,减持,34232312,0.06971037,-5517589,-13.8807616149786
601019,山东出版,2020-09-30,2,增持,29999385,1.43750946,4922247,19.628424104856
002271,东方雨虹,2020-09-30,2,减持,26138305,1.66508854,-1861099,-6.64692362737435
300845,捷安高科,2020-09-30,2,增持,462680,0.50097449,462680,100
000089,深圳机场,2020-09-30,2,减持,34784657,1.69617584,-11424797,-24.7239385256532
000951,中国重汽,2020-09-30,2,增持,10643352,1.58600157,10643352,100
300301,长方集团,2020-09-30,2,增持,5873758,0.74341132,5873758,100
002164,宁波东力,2020-09-30,2,增持,2664591,0.5006995,2664591,100
000159,国际实业,2020-09-30,2,增持,4686861,0.9750359,4686861,100
300167,迪威迅,2020-09-30,2,增持,2144661,0.71431554,2144661,100
