股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002485,希努尔,2019-06-30,8,持平,32000178,5.88238566,0,0
000703,恒逸石化,2019-06-30,5,增持,238159612,8.38080998,9358647,4.09030049326934
600515,海航基础,2019-06-30,5,减持,501744124,12.84023677,-57276616,-10.2458839004793
002509,天茂退,2019-06-30,5,持平,255986262,10.27029136,0,0
600400,红豆股份,2019-06-30,5,增持,204264141,8.06330144,39266780,23.7984291154814
000757,浩物股份,2019-06-30,4,增持,14998287,3.32098857,11730487,358.971999510374
000576,甘化科工,2019-06-30,4,减持,20426436,4.61237749,-2172950,-9.61508423281942
601233,桐昆股份,2019-06-30,4,增持,166956853,9.14914861,136643382,450.767851692074
002085,万丰奥威,2019-06-30,4,减持,167840374,7.67487922,-5263366,-3.04058479614594
002450,*ST康得,2019-06-30,3,持平,129635032,3.66107548,0,0
002252,上海莱士,2019-06-30,3,持平,114261083,2.29687966,0,0
600638,新黄浦,2019-06-30,3,持平,48136880,7.14836794,0,0
002002,鸿达兴业,2019-06-30,3,持平,51282050,1.9809857,0,0
000046,泛海控股,2019-06-30,3,持平,146520466,2.81976151,0,0
002383,合众思壮,2019-06-30,3,减持,24414750,3.27645196,-8460000,-25.7340360002738
600851,海欣股份,2019-06-30,3,增持,54536399,4.5181307,2627523,5.06179906496145
002564,天沃科技,2019-06-30,3,增持,72999115,8.26797196,7454599,11.3733374734204
601828,美凯龙,2019-06-30,3,增持,41384411,1.16575805,41384411,100
002313,日海智能,2019-06-30,3,增持,32369647,10.37245096,3256720,11.1865083163915
600086,退市金钰,2019-06-30,3,持平,35569772,2.63479793,0,0
300238,冠昊生物,2019-06-30,3,增持,22572060,8.51275681,795432,3.65268672450115
000793,华闻集团,2019-06-30,3,持平,163200353,8.17127171,0,0
600393,粤泰股份,2019-06-30,3,减持,72348107,2.85256452,-15664764,-17.7982649833114
