股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
600519,贵州茅台,2020-03-31,105,减持,1448112,0.11527727,-156707,-9.76477721163571
600036,招商银行,2020-03-31,87,减持,6553107,0.02598396,-27161958,-80.5632674888807
600887,伊利股份,2020-03-31,71,减持,25196801,0.41538531,-7033561,-21.8227800233829
000651,格力电器,2020-03-31,63,减持,4570609,0.0759776,-2614893,-36.3912361307533
601318,中国平安,2020-03-31,62,减持,8295112,0.04537743,-10106568,-54.9219853839432
000002,万科A,2020-03-31,53,增持,521738473,4.61627913,35301453,7.25714769817478
600276,恒瑞医药,2020-03-31,47,减持,1613132,0.03647299,-1629890,-50.2583701251487
000333,美的集团,2020-03-31,46,减持,10398430,0.14885848,-2040262,-16.4025445762304
000858,五粮液,2020-03-31,46,增持,24913822,0.14168808,850697,3.53527233058882
600030,中信证券,2020-03-31,45,减持,5292760,0.04094416,-8398568,-61.342245251885
601166,兴业银行,2020-03-31,45,减持,6544288,0.03150198,-4302565,-39.666482066273
600352,浙江龙盛,2020-03-31,37,减持,70114109,2.15514779,-47934611,-40.6057863227996
300760,迈瑞医疗,2020-03-31,36,增持,308900,0.02540941,145200,88.6988393402566
600048,保利地产,2020-03-31,35,减持,5553255,0.04653825,-9793196,-63.8140766226667
601088,中国神华,2020-03-31,34,增持,7392621,0.03716824,1431876,24.0217623803736
002475,立讯精密,2020-03-31,33,减持,1534873,0.02860841,-2407337,-61.0656712859031
601328,交通银行,2020-03-31,32,减持,9641500,0.01298296,-7059000,-42.2681955630071
601288,农业银行,2020-03-31,32,增持,16408967,0.00468852,5821300,54.981895444955
600585,海螺水泥,2020-03-31,30,增持,963662,0.01818471,160000,19.9088671605725
601933,永辉超市,2020-03-31,29,减持,10949500,0.11440931,-71421346,-86.70706866359
600016,民生银行,2020-03-31,28,减持,7987100,0.01824271,-3742464,-31.9062498827748
000568,泸州老窖,2020-03-31,28,减持,3937723,0.26883198,-4682436,-54.3196012973775
002304,洋河股份,2020-03-31,28,减持,2660088,0.17651688,-3436966,-56.3709293045461
600872,中炬高新,2020-03-31,28,减持,6626598,0.83182131,-1172374,-15.0324170929194
002695,煌上煌,2020-03-31,27,增持,6485176,1.2632351,6485176,100
601398,工商银行,2020-03-31,27,减持,8921900,0.00250329,-19732917,-68.8642227238792
000001,平安银行,2020-03-31,26,减持,3026878,0.01559772,-7610699,-71.5454186606593
601336,新华保险,2020-03-31,26,增持,1359480,0.04357939,572700,72.7903607107451
601668,中国建筑,2020-03-31,25,增持,9471492,0.02256427,1781500,23.1664740353436
300244,迪安诊断,2020-03-31,25,减持,1817803,0.29297746,-3658646,-66.8069035245284
300724,捷佳伟创,2020-03-31,25,增持,4865610,1.5147282,2720610,126.834965034965
603583,捷昌驱动,2020-03-31,25,增持,3241121,1.82596566,3241121,100
300122,智飞生物,2020-03-31,22,减持,1491066,0.09319163,-7699334,-83.7758313022284
002007,华兰生物,2020-03-31,21,增持,888515,0.06332697,813458,1083.78698855536
002311,海大集团,2020-03-31,21,减持,10697029,0.676874,-5223307,-32.8090248849019
000063,中兴通讯,2020-03-31,19,增持,1569054,0.03402108,207512,15.2409547410216
000661,长春高新,2020-03-31,19,增持,119900,0.05925079,85100,244.540229885057
603899,晨光文具,2020-03-31,18,增持,4236831,0.46052512,769456,22.1913118713724
600009,上海机场,2020-03-31,17,增持,2540109,0.13181962,475400,23.0250364579222
600031,三一重工,2020-03-31,17,增持,11362158,0.134694,5290262,87.1270193033609
002555,三七互娱,2020-03-31,17,减持,860564,0.04074155,-105036,-10.8777961888981
600426,华鲁恒升,2020-03-31,17,减持,20630085,1.26824836,-9056921,-30.5080310220573
600132,重庆啤酒,2020-03-31,17,增持,3053042,0.63083133,278000,10.0178663962563
002048,宁波华翔,2020-03-31,17,增持,1710300,0.27311169,904000,112.117078010666
002798,帝王洁具,2020-03-31,17,增持,1180000,0.3065249,1176800,36775
300750,宁德时代,2020-03-31,17,减持,1376510,0.06233065,-284845,-17.1453422056093
600486,扬农化工,2020-03-31,16,减持,9221269,2.97557325,-648959,-6.57491397361844
002847,盐津铺子,2020-03-31,16,增持,1653600,1.28785045,1653600,100
600600,青岛啤酒,2020-03-31,14,增持,1919425,0.1420762,856600,80.5965234163668
002127,南极电商,2020-03-31,14,减持,16043108,0.65352159,-13710507,-46.0801384974565
002415,海康威视,2020-03-31,14,减持,103192241,1.10424956,-11566190,-10.0787278975607
600600,青岛啤酒,2020-03-31,14,增持,1919425,0.1420762,856600,80.5965234163668
002127,南极电商,2020-03-31,14,减持,16043108,0.65352159,-13710507,-46.0801384974565
600529,山东药玻,2020-03-31,14,减持,809117,0.13599343,-2993068,-78.7196835503796
300498,温氏股份,2020-03-31,13,减持,117100,0.00220465,-156300,-57.1689831748354
002065,东华软件,2020-03-31,13,减持,9548268,0.30647799,-3892396,-28.9598490074597
002714,牧原股份,2020-03-31,13,减持,226200,0.01026033,-11006957,-97.9863185389468
600305,恒顺醋业,2020-03-31,13,增持,5041570,0.64341898,3048570,152.963873557451
002773,康弘药业,2020-03-31,13,增持,422426,0.04824431,306336,263.878025669739
601012,隆基股份,2020-03-31,12,增持,23257209,0.61657226,4574786,24.4871128332765
002507,涪陵榨菜,2020-03-31,12,减持,1170213,0.14824885,-4104192,-77.8133647302397
002398,垒知集团,2020-03-31,12,增持,3358203,0.48493302,3358203,100
002690,美亚光电,2020-03-31,12,增持,16338127,2.41688272,1481675,9.97327625734597
002271,东方雨虹,2020-03-31,12,减持,1390695,0.08889582,-9015639,-86.6360718385553
300457,赢合科技,2020-03-31,12,减持,17232298,4.58403976,-3798509,-18.0616416669127
600958,东方证券,2020-03-31,11,增持,377700,0.00540063,87700,30.2413793103448
600196,复星医药,2020-03-31,11,减持,913951,0.03566084,-11394371,-92.5745280307096
002236,大华股份,2020-03-31,11,增持,14387277,0.47830183,14124777,5380.86742857143
000799,酒鬼酒,2020-03-31,11,增持,6681997,2.05644846,3799172,131.78642477431
